1773577570.659209 server started (43165): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1773577570.659259 on Linux 6.19.7-200.fc43.x86_64 #1 SMP PREEMPT_DYNAMIC Thu Mar 12 15:50:03 UTC 2026
1773577570.659295 using libevent 2.1.12-stable poll
1773577570.659313 using ncurses 6.5 20250614
1773577570.813322 args_parse_flags: next -Tcopy-mode-vi
1773577570.813337 args_parse_flag_argument: -T = copy-mode-vi
1773577570.813350 args_parse_flags: next TripleClick1Pane
1773577570.813363 args_parse: flags end at 2 of 4
1773577570.813377 args_parse: 2 = TripleClick1Pane (type STRING)
1773577570.813398 args_parse: 3 = select-pane ; send-keys -X select-line ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel (type COMMANDS)
1773577570.813415 cmd_parse_build_commands: bind-key -T copy-mode-vi TripleClick1Pane { select-pane ; send-keys -X select-line ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel }
1773577570.813431 cmdq_get_command: [bind-key/0x5650cf0c7eb0] group 2630
1773577570.813442 cmdq_append <global>: [bind-key/0x5650cf0c7eb0]
1773577570.813456 yylex_token: end at WS
1773577570.813466 yylex_token: bind
1773577570.813477 yylex_token: end at WS
1773577570.813486 yylex_token: -Tcopy-mode-vi
1773577570.813496 yylex_token: end at WS
1773577570.813505 yylex_token: BSpace
1773577570.813517 yylex_token: end at WS
1773577570.813527 yylex_token: send
1773577570.813536 yylex_token: end at WS
1773577570.813547 yylex_token: -X
1773577570.813557 yylex_token: end at WS
1773577570.813567 yylex_token: cursor-left
1773577570.813578 cmd_parse_build_commands 0:0: bind
1773577570.813588 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1773577570.813599 cmd_parse_build_commands 0:2: BSpace
1773577570.813610 cmd_parse_build_commands 0:3 0:0: send
1773577570.813620 cmd_parse_build_commands 0:3 0:1: -X
1773577570.813630 cmd_parse_build_commands 0:3 0:2: cursor-left
1773577570.813641 cmd_parse_build_commands 0:0: send
1773577570.813651 cmd_parse_build_commands 0:1: -X
1773577570.813661 cmd_parse_build_commands 0:2: cursor-left
1773577570.813673 args_parse_flags: next -X
1773577570.813683 args_parse_flags: -X
1773577570.813694 args_parse_flags: next cursor-left
1773577570.813704 args_parse: flags end at 2 of 3
1773577570.813714 args_parse: 2 = cursor-left (type STRING)
1773577570.813726 cmd_parse_build_commands: send-keys -X cursor-left
1773577570.813737 args_parse_flags: next -Tcopy-mode-vi
1773577570.813747 args_parse_flag_argument: -T = copy-mode-vi
1773577570.813757 args_parse_flags: next BSpace
1773577570.813767 args_parse: flags end at 2 of 4
1773577570.813777 args_parse: 2 = BSpace (type STRING)
1773577570.813790 args_parse: 3 = send-keys -X cursor-left (type COMMANDS)
1773577570.813804 cmd_parse_build_commands: bind-key -T copy-mode-vi BSpace { send-keys -X cursor-left }
1773577570.813815 cmdq_get_command: [bind-key/0x5650cf0c7050] group 2641
1773577570.813825 cmdq_append <global>: [bind-key/0x5650cf0c7050]
1773577570.813836 yylex_token: end at WS
1773577570.813846 yylex_token: bind
1773577570.813856 yylex_token: end at WS
1773577570.813866 yylex_token: -Tcopy-mode-vi
1773577570.813877 yylex_token: end at WS
1773577570.813887 yylex_token: NPage
1773577570.813897 yylex_token: end at WS
1773577570.813906 yylex_token: send
1773577570.813917 yylex_token: end at WS
1773577570.813926 yylex_token: -X
1773577570.813936 yylex_token: end at WS
1773577570.813946 yylex_token: page-down
1773577570.813957 cmd_parse_build_commands 0:0: bind
1773577570.813976 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1773577570.813990 cmd_parse_build_commands 0:2: NPage
1773577570.814000 cmd_parse_build_commands 0:3 0:0: send
1773577570.814010 cmd_parse_build_commands 0:3 0:1: -X
1773577570.814020 cmd_parse_build_commands 0:3 0:2: page-down
1773577570.814031 cmd_parse_build_commands 0:0: send
1773577570.814041 cmd_parse_build_commands 0:1: -X
1773577570.814053 cmd_parse_build_commands 0:2: page-down
1773577570.814064 args_parse_flags: next -X
1773577570.814074 args_parse_flags: -X
1773577570.814084 args_parse_flags: next page-down
1773577570.814094 args_parse: flags end at 2 of 3
1773577570.814118 args_parse: 2 = page-down (type STRING)
1773577570.814131 cmd_parse_build_commands: send-keys -X page-down
1773577570.814141 args_parse_flags: next -Tcopy-mode-vi
1773577570.814152 args_parse_flag_argument: -T = copy-mode-vi
1773577570.814162 args_parse_flags: next NPage
1773577570.814172 args_parse: flags end at 2 of 4
1773577570.814182 args_parse: 2 = NPage (type STRING)
1773577570.814194 args_parse: 3 = send-keys -X page-down (type COMMANDS)
1773577570.814208 cmd_parse_build_commands: bind-key -T copy-mode-vi NPage { send-keys -X page-down }
1773577570.814218 cmdq_get_command: [bind-key/0x5650cf0c7ff0] group 2649
1773577570.814229 cmdq_append <global>: [bind-key/0x5650cf0c7ff0]
1773577570.814247 yylex_token: end at WS
1773577570.814257 yylex_token: bind
1773577570.814267 yylex_token: end at WS
1773577570.814277 yylex_token: -Tcopy-mode-vi
1773577570.814287 yylex_token: end at WS
1773577570.814296 yylex_token: PPage
1773577570.814307 yylex_token: end at WS
1773577570.814316 yylex_token: send
1773577570.814326 yylex_token: end at WS
1773577570.814337 yylex_token: -X
1773577570.814347 yylex_token: end at WS
1773577570.814357 yylex_token: page-up
1773577570.814368 cmd_parse_build_commands 0:0: bind
1773577570.814378 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1773577570.814389 cmd_parse_build_commands 0:2: PPage
1773577570.814399 cmd_parse_build_commands 0:3 0:0: send
1773577570.814409 cmd_parse_build_commands 0:3 0:1: -X
1773577570.814420 cmd_parse_build_commands 0:3 0:2: page-up
1773577570.814431 cmd_parse_build_commands 0:0: send
1773577570.814440 cmd_parse_build_commands 0:1: -X
1773577570.814450 cmd_parse_build_commands 0:2: page-up
1773577570.814463 args_parse_flags: next -X
1773577570.814473 args_parse_flags: -X
1773577570.814482 args_parse_flags: next page-up
1773577570.814492 args_parse: flags end at 2 of 3
1773577570.814502 args_parse: 2 = page-up (type STRING)
1773577570.814516 cmd_parse_build_commands: send-keys -X page-up
1773577570.814526 args_parse_flags: next -Tcopy-mode-vi
1773577570.814536 args_parse_flag_argument: -T = copy-mode-vi
1773577570.814546 args_parse_flags: next PPage
1773577570.814556 args_parse: flags end at 2 of 4
1773577570.814566 args_parse: 2 = PPage (type STRING)
1773577570.814578 args_parse: 3 = send-keys -X page-up (type COMMANDS)
1773577570.814592 cmd_parse_build_commands: bind-key -T copy-mode-vi PPage { send-keys -X page-up }
1773577570.814604 cmdq_get_command: [bind-key/0x5650cf0c82e0] group 2657
1773577570.814614 cmdq_append <global>: [bind-key/0x5650cf0c82e0]
1773577570.814625 yylex_token: end at WS
1773577570.814635 yylex_token: bind
1773577570.814645 yylex_token: end at WS
1773577570.814655 yylex_token: -Tcopy-mode-vi
1773577570.814665 yylex_token: end at WS
1773577570.814675 yylex_token: Up
1773577570.814684 yylex_token: end at WS
1773577570.814696 yylex_token: send
1773577570.814705 yylex_token: end at WS
1773577570.814715 yylex_token: -X
1773577570.814725 yylex_token: end at WS
1773577570.814735 yylex_token: cursor-up
1773577570.814746 cmd_parse_build_commands 0:0: bind
1773577570.814756 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1773577570.814766 cmd_parse_build_commands 0:2: Up
1773577570.814778 cmd_parse_build_commands 0:3 0:0: send
1773577570.814788 cmd_parse_build_commands 0:3 0:1: -X
1773577570.814798 cmd_parse_build_commands 0:3 0:2: cursor-up
1773577570.814809 cmd_parse_build_commands 0:0: send
1773577570.814825 cmd_parse_build_commands 0:1: -X
1773577570.814839 cmd_parse_build_commands 0:2: cursor-up
1773577570.814850 args_parse_flags: next -X
1773577570.814860 args_parse_flags: -X
1773577570.814871 args_parse_flags: next cursor-up
1773577570.814881 args_parse: flags end at 2 of 3
1773577570.814891 args_parse: 2 = cursor-up (type STRING)
1773577570.814904 cmd_parse_build_commands: send-keys -X cursor-up
1773577570.814914 args_parse_flags: next -Tcopy-mode-vi
1773577570.814924 args_parse_flag_argument: -T = copy-mode-vi
1773577570.814934 args_parse_flags: next Up
1773577570.814944 args_parse: flags end at 2 of 4
1773577570.814954 args_parse: 2 = Up (type STRING)
1773577570.814967 args_parse: 3 = send-keys -X cursor-up (type COMMANDS)
1773577570.814980 cmd_parse_build_commands: bind-key -T copy-mode-vi Up { send-keys -X cursor-up }
1773577570.814991 cmdq_get_command: [bind-key/0x5650cf0c8a00] group 2665
1773577570.815002 cmdq_append <global>: [bind-key/0x5650cf0c8a00]
1773577570.815012 yylex_token: end at WS
1773577570.815022 yylex_token: bind
1773577570.815032 yylex_token: end at WS
1773577570.815042 yylex_token: -Tcopy-mode-vi
1773577570.815053 yylex_token: end at WS
1773577570.815063 yylex_token: Down
1773577570.815073 yylex_token: end at WS
1773577570.815083 yylex_token: send
1773577570.815093 yylex_token: end at WS
1773577570.815117 yylex_token: -X
1773577570.815126 yylex_token: end at WS
1773577570.815136 yylex_token: cursor-down
1773577570.815147 cmd_parse_build_commands 0:0: bind
1773577570.815159 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1773577570.815169 cmd_parse_build_commands 0:2: Down
1773577570.815180 cmd_parse_build_commands 0:3 0:0: send
1773577570.815190 cmd_parse_build_commands 0:3 0:1: -X
1773577570.815200 cmd_parse_build_commands 0:3 0:2: cursor-down
1773577570.815211 cmd_parse_build_commands 0:0: send
1773577570.815221 cmd_parse_build_commands 0:1: -X
1773577570.815231 cmd_parse_build_commands 0:2: cursor-down
1773577570.815244 args_parse_flags: next -X
1773577570.815254 args_parse_flags: -X
1773577570.815264 args_parse_flags: next cursor-down
1773577570.815274 args_parse: flags end at 2 of 3
1773577570.815285 args_parse: 2 = cursor-down (type STRING)
1773577570.815296 cmd_parse_build_commands: send-keys -X cursor-down
1773577570.815307 args_parse_flags: next -Tcopy-mode-vi
1773577570.815317 args_parse_flag_argument: -T = copy-mode-vi
1773577570.815327 args_parse_flags: next Down
1773577570.815338 args_parse: flags end at 2 of 4
1773577570.815349 args_parse: 2 = Down (type STRING)
1773577570.815360 args_parse: 3 = send-keys -X cursor-down (type COMMANDS)
1773577570.815373 cmd_parse_build_commands: bind-key -T copy-mode-vi Down { send-keys -X cursor-down }
1773577570.815385 cmdq_get_command: [bind-key/0x5650cf0c8fe0] group 2673
1773577570.815396 cmdq_append <global>: [bind-key/0x5650cf0c8fe0]
1773577570.815406 yylex_token: end at WS
1773577570.815416 yylex_token: bind
1773577570.815427 yylex_token: end at WS
1773577570.815437 yylex_token: -Tcopy-mode-vi
1773577570.815447 yylex_token: end at WS
1773577570.815457 yylex_token: Left
1773577570.815467 yylex_token: end at WS
1773577570.815476 yylex_token: send
1773577570.815486 yylex_token: end at WS
1773577570.815496 yylex_token: -X
1773577570.815506 yylex_token: end at WS
1773577570.815517 yylex_token: cursor-left
1773577570.815528 cmd_parse_build_commands 0:0: bind
1773577570.815539 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1773577570.815549 cmd_parse_build_commands 0:2: Left
1773577570.815559 cmd_parse_build_commands 0:3 0:0: send
1773577570.815568 cmd_parse_build_commands 0:3 0:1: -X
1773577570.815579 cmd_parse_build_commands 0:3 0:2: cursor-left
1773577570.815589 cmd_parse_build_commands 0:0: send
1773577570.815599 cmd_parse_build_commands 0:1: -X
1773577570.815609 cmd_parse_build_commands 0:2: cursor-left
1773577570.815622 args_parse_flags: next -X
1773577570.815632 args_parse_flags: -X
1773577570.815642 args_parse_flags: next cursor-left
1773577570.815653 args_parse: flags end at 2 of 3
1773577570.815663 args_parse: 2 = cursor-left (type STRING)
1773577570.815681 cmd_parse_build_commands: send-keys -X cursor-left
1773577570.815694 args_parse_flags: next -Tcopy-mode-vi
1773577570.815705 args_parse_flag_argument: -T = copy-mode-vi
1773577570.815716 args_parse_flags: next Left
1773577570.815726 args_parse: flags end at 2 of 4
1773577570.815737 args_parse: 2 = Left (type STRING)
1773577570.815749 args_parse: 3 = send-keys -X cursor-left (type COMMANDS)
1773577570.815762 cmd_parse_build_commands: bind-key -T copy-mode-vi Left { send-keys -X cursor-left }
1773577570.815774 cmdq_get_command: [bind-key/0x5650cf0c9450] group 2681
1773577570.815785 cmdq_append <global>: [bind-key/0x5650cf0c9450]
1773577570.815800 yylex_token: end at WS
1773577570.815811 yylex_token: bind
1773577570.815821 yylex_token: end at WS
1773577570.815831 yylex_token: -Tcopy-mode-vi
1773577570.815841 yylex_token: end at WS
1773577570.815851 yylex_token: Right
1773577570.815861 yylex_token: end at WS
1773577570.815871 yylex_token: send
1773577570.815881 yylex_token: end at WS
1773577570.815892 yylex_token: -X
1773577570.815902 yylex_token: end at WS
1773577570.815912 yylex_token: cursor-right
1773577570.815922 cmd_parse_build_commands 0:0: bind
1773577570.815933 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1773577570.815943 cmd_parse_build_commands 0:2: Right
1773577570.815954 cmd_parse_build_commands 0:3 0:0: send
1773577570.815964 cmd_parse_build_commands 0:3 0:1: -X
1773577570.815974 cmd_parse_build_commands 0:3 0:2: cursor-right
1773577570.815986 cmd_parse_build_commands 0:0: send
1773577570.815997 cmd_parse_build_commands 0:1: -X
1773577570.816007 cmd_parse_build_commands 0:2: cursor-right
1773577570.816018 args_parse_flags: next -X
1773577570.816028 args_parse_flags: -X
1773577570.816038 args_parse_flags: next cursor-right
1773577570.816048 args_parse: flags end at 2 of 3
1773577570.816058 args_parse: 2 = cursor-right (type STRING)
1773577570.816071 cmd_parse_build_commands: send-keys -X cursor-right
1773577570.816082 args_parse_flags: next -Tcopy-mode-vi
1773577570.816092 args_parse_flag_argument: -T = copy-mode-vi
1773577570.816102 args_parse_flags: next Right
1773577570.816124 args_parse: flags end at 2 of 4
1773577570.816133 args_parse: 2 = Right (type STRING)
1773577570.816145 args_parse: 3 = send-keys -X cursor-right (type COMMANDS)
1773577570.816159 cmd_parse_build_commands: bind-key -T copy-mode-vi Right { send-keys -X cursor-right }
1773577570.816174 cmdq_get_command: [bind-key/0x5650cf0c9630] group 2689
1773577570.816184 cmdq_append <global>: [bind-key/0x5650cf0c9630]
1773577570.816195 yylex_token: end at WS
1773577570.816205 yylex_token: bind
1773577570.816215 yylex_token: end at WS
1773577570.816225 yylex_token: -Tcopy-mode-vi
1773577570.816235 yylex_token: end at WS
1773577570.816245 yylex_token: M-x
1773577570.816255 yylex_token: end at WS
1773577570.816266 yylex_token: send
1773577570.816276 yylex_token: end at WS
1773577570.816286 yylex_token: -X
1773577570.816296 yylex_token: end at WS
1773577570.816306 yylex_token: jump-to-mark
1773577570.816317 cmd_parse_build_commands 0:0: bind
1773577570.816327 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1773577570.816337 cmd_parse_build_commands 0:2: M-x
1773577570.816348 cmd_parse_build_commands 0:3 0:0: send
1773577570.816359 cmd_parse_build_commands 0:3 0:1: -X
1773577570.816369 cmd_parse_build_commands 0:3 0:2: jump-to-mark
1773577570.816380 cmd_parse_build_commands 0:0: send
1773577570.816390 cmd_parse_build_commands 0:1: -X
1773577570.816400 cmd_parse_build_commands 0:2: jump-to-mark
1773577570.816412 args_parse_flags: next -X
1773577570.816422 args_parse_flags: -X
1773577570.816431 args_parse_flags: next jump-to-mark
1773577570.816443 args_parse: flags end at 2 of 3
1773577570.816453 args_parse: 2 = jump-to-mark (type STRING)
1773577570.816465 cmd_parse_build_commands: send-keys -X jump-to-mark
1773577570.816475 args_parse_flags: next -Tcopy-mode-vi
1773577570.816485 args_parse_flag_argument: -T = copy-mode-vi
1773577570.816495 args_parse_flags: next M-x
1773577570.816505 args_parse: flags end at 2 of 4
1773577570.816521 args_parse: 2 = M-x (type STRING)
1773577570.816537 args_parse: 3 = send-keys -X jump-to-mark (type COMMANDS)
1773577570.816550 cmd_parse_build_commands: bind-key -T copy-mode-vi M-x { send-keys -X jump-to-mark }
1773577570.816562 cmdq_get_command: [bind-key/0x5650cf0c9ac0] group 2697
1773577570.816572 cmdq_append <global>: [bind-key/0x5650cf0c9ac0]
1773577570.816583 yylex_token: end at WS
1773577570.816593 yylex_token: bind
1773577570.816603 yylex_token: end at WS
1773577570.816613 yylex_token: -Tcopy-mode-vi
1773577570.816624 yylex_token: end at WS
1773577570.816633 yylex_token: C-Up
1773577570.816643 yylex_token: end at WS
1773577570.816653 yylex_token: send
1773577570.816663 yylex_token: end at WS
1773577570.816673 yylex_token: -X
1773577570.816683 yylex_token: end at WS
1773577570.816692 yylex_token: scroll-up
1773577570.816702 cmd_parse_build_commands 0:0: bind
1773577570.816714 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1773577570.816724 cmd_parse_build_commands 0:2: C-Up
1773577570.816734 cmd_parse_build_commands 0:3 0:0: send
1773577570.816745 cmd_parse_build_commands 0:3 0:1: -X
1773577570.816755 cmd_parse_build_commands 0:3 0:2: scroll-up
1773577570.816765 cmd_parse_build_commands 0:0: send
1773577570.816775 cmd_parse_build_commands 0:1: -X
1773577570.816785 cmd_parse_build_commands 0:2: scroll-up
1773577570.816797 args_parse_flags: next -X
1773577570.816808 args_parse_flags: -X
1773577570.816818 args_parse_flags: next scroll-up
1773577570.816828 args_parse: flags end at 2 of 3
1773577570.816838 args_parse: 2 = scroll-up (type STRING)
1773577570.816850 cmd_parse_build_commands: send-keys -X scroll-up
1773577570.816860 args_parse_flags: next -Tcopy-mode-vi
1773577570.816870 args_parse_flag_argument: -T = copy-mode-vi
1773577570.816880 args_parse_flags: next C-Up
1773577570.816891 args_parse: flags end at 2 of 4
1773577570.816901 args_parse: 2 = C-Up (type STRING)
1773577570.816913 args_parse: 3 = send-keys -X scroll-up (type COMMANDS)
1773577570.816926 cmd_parse_build_commands: bind-key -T copy-mode-vi C-Up { send-keys -X scroll-up }
1773577570.816937 cmdq_get_command: [bind-key/0x5650cf0c9eb0] group 2705
1773577570.816947 cmdq_append <global>: [bind-key/0x5650cf0c9eb0]
1773577570.816958 yylex_token: end at WS
1773577570.816967 yylex_token: bind
1773577570.816979 yylex_token: end at WS
1773577570.816989 yylex_token: -Tcopy-mode-vi
1773577570.816999 yylex_token: end at WS
1773577570.817009 yylex_token: C-Down
1773577570.817019 yylex_token: end at WS
1773577570.817028 yylex_token: send
1773577570.817039 yylex_token: end at WS
1773577570.817048 yylex_token: -X
1773577570.817058 yylex_token: end at WS
1773577570.817070 yylex_token: scroll-down
1773577570.817080 cmd_parse_build_commands 0:0: bind
1773577570.817090 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1773577570.817101 cmd_parse_build_commands 0:2: C-Down
1773577570.817124 cmd_parse_build_commands 0:3 0:0: send
1773577570.817134 cmd_parse_build_commands 0:3 0:1: -X
1773577570.817144 cmd_parse_build_commands 0:3 0:2: scroll-down
1773577570.817155 cmd_parse_build_commands 0:0: send
1773577570.817165 cmd_parse_build_commands 0:1: -X
1773577570.817176 cmd_parse_build_commands 0:2: scroll-down
1773577570.817188 args_parse_flags: next -X
1773577570.817198 args_parse_flags: -X
1773577570.817208 args_parse_flags: next scroll-down
1773577570.817218 args_parse: flags end at 2 of 3
1773577570.817228 args_parse: 2 = scroll-down (type STRING)
1773577570.817241 cmd_parse_build_commands: send-keys -X scroll-down
1773577570.817253 args_parse_flags: next -Tcopy-mode-vi
1773577570.817262 args_parse_flag_argument: -T = copy-mode-vi
1773577570.817273 args_parse_flags: next C-Down
1773577570.817283 args_parse: flags end at 2 of 4
1773577570.817293 args_parse: 2 = C-Down (type STRING)
1773577570.817305 args_parse: 3 = send-keys -X scroll-down (type COMMANDS)
1773577570.817318 cmd_parse_build_commands: bind-key -T copy-mode-vi C-Down { send-keys -X scroll-down }
1773577570.817330 cmdq_get_command: [bind-key/0x5650cf0ca4b0] group 2713
1773577570.817340 cmdq_append <global>: [bind-key/0x5650cf0ca4b0]
1773577570.817364 cmdq_append <global>: [key_bindings_init_done/0x5650cf0ca360]
1773577570.817645 add peer 0x5650cf0cb140: 8 (0x5650cf0ca630)
1773577570.817680 new client 0x5650cf0ca630
1773577570.817730 server loop enter
1773577570.817958 peer 0x5650cf0cb140 message 111
1773577570.817976 client 0x5650cf0ca630 IDENTIFY_LONGFLAGS 0x18010000
1773577570.817988 peer 0x5650cf0cb140 message 111
1773577570.817998 client 0x5650cf0ca630 IDENTIFY_LONGFLAGS 0x18010000
1773577570.818009 peer 0x5650cf0cb140 message 101
1773577570.818020 client 0x5650cf0ca630 IDENTIFY_TERM xterm-256color
1773577570.818030 peer 0x5650cf0cb140 message 109
1773577570.818045 client 0x5650cf0ca630 IDENTIFY_FEATURES 
1773577570.818055 peer 0x5650cf0cb140 message 102
1773577570.818066 client 0x5650cf0ca630 IDENTIFY_TTYNAME /dev/pts/1
1773577570.818076 peer 0x5650cf0cb140 message 108
1773577570.818096 client 0x5650cf0ca630 IDENTIFY_CWD /home/fastoch/DevOps/TWN_DevOps_Bootcamp/shell_scripting/exercises/6-start-Node-app
1773577570.818127 peer 0x5650cf0cb140 message 112
1773577570.818138 client 0x5650cf0ca630 IDENTIFY_TERMINFO acsc=``aaffggiijjkkllmmnnooppqqrrssttuuvvwwxxyyzz{{||}}~~
1773577570.818149 peer 0x5650cf0cb140 message 112
1773577570.818159 client 0x5650cf0ca630 IDENTIFY_TERMINFO am=1
1773577570.818169 peer 0x5650cf0cb140 message 112
1773577570.818179 client 0x5650cf0ca630 IDENTIFY_TERMINFO AX=1
1773577570.818189 peer 0x5650cf0cb140 message 112
1773577570.818200 client 0x5650cf0ca630 IDENTIFY_TERMINFO bce=1
1773577570.818209 peer 0x5650cf0cb140 message 112
1773577570.818220 client 0x5650cf0ca630 IDENTIFY_TERMINFO bel=\a
1773577570.818231 peer 0x5650cf0cb140 message 112
1773577570.818241 client 0x5650cf0ca630 IDENTIFY_TERMINFO blink=\033[5m
1773577570.818252 peer 0x5650cf0cb140 message 112
1773577570.818262 client 0x5650cf0ca630 IDENTIFY_TERMINFO bold=\033[1m
1773577570.818274 peer 0x5650cf0cb140 message 112
1773577570.818284 client 0x5650cf0ca630 IDENTIFY_TERMINFO civis=\033[?25l
1773577570.818294 peer 0x5650cf0cb140 message 112
1773577570.818305 client 0x5650cf0ca630 IDENTIFY_TERMINFO clear=\033[H\033[2J
1773577570.818315 peer 0x5650cf0cb140 message 112
1773577570.818325 client 0x5650cf0ca630 IDENTIFY_TERMINFO cnorm=\033[?12l\033[?25h
1773577570.818336 peer 0x5650cf0cb140 message 112
1773577570.818350 client 0x5650cf0ca630 IDENTIFY_TERMINFO colors=256
1773577570.818360 peer 0x5650cf0cb140 message 112
1773577570.818371 client 0x5650cf0ca630 IDENTIFY_TERMINFO Cr=\033]112\a
1773577570.818381 peer 0x5650cf0cb140 message 112
1773577570.818391 client 0x5650cf0ca630 IDENTIFY_TERMINFO Cs=\033]12;%p1%s\a
1773577570.818401 peer 0x5650cf0cb140 message 112
1773577570.818411 client 0x5650cf0ca630 IDENTIFY_TERMINFO csr=\033[%i%p1%d;%p2%dr
1773577570.818422 peer 0x5650cf0cb140 message 112
1773577570.818433 client 0x5650cf0ca630 IDENTIFY_TERMINFO cub=\033[%p1%dD
1773577570.818443 peer 0x5650cf0cb140 message 112
1773577570.818454 client 0x5650cf0ca630 IDENTIFY_TERMINFO cub1=\b
1773577570.818464 peer 0x5650cf0cb140 message 112
1773577570.818474 client 0x5650cf0ca630 IDENTIFY_TERMINFO cud=\033[%p1%dB
1773577570.818484 peer 0x5650cf0cb140 message 112
1773577570.818495 client 0x5650cf0ca630 IDENTIFY_TERMINFO cud1=\n
1773577570.818505 peer 0x5650cf0cb140 message 112
1773577570.818515 client 0x5650cf0ca630 IDENTIFY_TERMINFO cuf=\033[%p1%dC
1773577570.818525 peer 0x5650cf0cb140 message 112
1773577570.818535 client 0x5650cf0ca630 IDENTIFY_TERMINFO cuf1=\033[C
1773577570.818546 peer 0x5650cf0cb140 message 112
1773577570.818556 client 0x5650cf0ca630 IDENTIFY_TERMINFO cup=\033[%i%p1%d;%p2%dH
1773577570.818566 peer 0x5650cf0cb140 message 112
1773577570.818576 client 0x5650cf0ca630 IDENTIFY_TERMINFO cuu=\033[%p1%dA
1773577570.818587 peer 0x5650cf0cb140 message 112
1773577570.818598 client 0x5650cf0ca630 IDENTIFY_TERMINFO cuu1=\033[A
1773577570.818608 peer 0x5650cf0cb140 message 112
1773577570.818618 client 0x5650cf0ca630 IDENTIFY_TERMINFO cvvis=\033[?12;25h
1773577570.818628 peer 0x5650cf0cb140 message 112
1773577570.818639 client 0x5650cf0ca630 IDENTIFY_TERMINFO dch=\033[%p1%dP
1773577570.818657 peer 0x5650cf0cb140 message 112
1773577570.818672 client 0x5650cf0ca630 IDENTIFY_TERMINFO dch1=\033[P
1773577570.818682 peer 0x5650cf0cb140 message 112
1773577570.818696 client 0x5650cf0ca630 IDENTIFY_TERMINFO dim=\033[2m
1773577570.818707 peer 0x5650cf0cb140 message 112
1773577570.818717 client 0x5650cf0ca630 IDENTIFY_TERMINFO dl=\033[%p1%dM
1773577570.818727 peer 0x5650cf0cb140 message 112
1773577570.818738 client 0x5650cf0ca630 IDENTIFY_TERMINFO dl1=\033[M
1773577570.818748 peer 0x5650cf0cb140 message 112
1773577570.818759 client 0x5650cf0ca630 IDENTIFY_TERMINFO E3=\033[3J
1773577570.818769 peer 0x5650cf0cb140 message 112
1773577570.818779 client 0x5650cf0ca630 IDENTIFY_TERMINFO ech=\033[%p1%dX
1773577570.818789 peer 0x5650cf0cb140 message 112
1773577570.818800 client 0x5650cf0ca630 IDENTIFY_TERMINFO ed=\033[J
1773577570.818810 peer 0x5650cf0cb140 message 112
1773577570.818820 client 0x5650cf0ca630 IDENTIFY_TERMINFO el=\033[K
1773577570.818830 peer 0x5650cf0cb140 message 112
1773577570.818841 client 0x5650cf0ca630 IDENTIFY_TERMINFO el1=\033[1K
1773577570.818851 peer 0x5650cf0cb140 message 112
1773577570.818861 client 0x5650cf0ca630 IDENTIFY_TERMINFO home=\033[H
1773577570.818871 peer 0x5650cf0cb140 message 112
1773577570.818882 client 0x5650cf0ca630 IDENTIFY_TERMINFO hpa=\033[%i%p1%dG
1773577570.818892 peer 0x5650cf0cb140 message 112
1773577570.818904 client 0x5650cf0ca630 IDENTIFY_TERMINFO ich=\033[%p1%d@
1773577570.818914 peer 0x5650cf0cb140 message 112
1773577570.818924 client 0x5650cf0ca630 IDENTIFY_TERMINFO il=\033[%p1%dL
1773577570.818934 peer 0x5650cf0cb140 message 112
1773577570.818944 client 0x5650cf0ca630 IDENTIFY_TERMINFO il1=\033[L
1773577570.818955 peer 0x5650cf0cb140 message 112
1773577570.818968 client 0x5650cf0ca630 IDENTIFY_TERMINFO indn=\033[%p1%dS
1773577570.818979 peer 0x5650cf0cb140 message 112
1773577570.818989 client 0x5650cf0ca630 IDENTIFY_TERMINFO invis=\033[8m
1773577570.818999 peer 0x5650cf0cb140 message 112
1773577570.819009 client 0x5650cf0ca630 IDENTIFY_TERMINFO kcbt=\033[Z
1773577570.819020 peer 0x5650cf0cb140 message 112
1773577570.819030 client 0x5650cf0ca630 IDENTIFY_TERMINFO kcub1=\033OD
1773577570.819040 peer 0x5650cf0cb140 message 112
1773577570.819052 client 0x5650cf0ca630 IDENTIFY_TERMINFO kcud1=\033OB
1773577570.819062 peer 0x5650cf0cb140 message 112
1773577570.819072 client 0x5650cf0ca630 IDENTIFY_TERMINFO kcuf1=\033OC
1773577570.819083 peer 0x5650cf0cb140 message 112
1773577570.819093 client 0x5650cf0ca630 IDENTIFY_TERMINFO kcuu1=\033OA
1773577570.819117 peer 0x5650cf0cb140 message 112
1773577570.819128 client 0x5650cf0ca630 IDENTIFY_TERMINFO kDC=\033[3;2~
1773577570.819138 peer 0x5650cf0cb140 message 112
